interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
2,9/6/2023,20:25,Male,19,Sophomore,Rest of United States,6+,Female,19,Sophomore,Rest of United States,Close friend,More than once a week,Male,20,Sophomore,Rest of United States,Close friend,Once a week,Male,19,Sophomore,Rest of United States,Close friend,More than once a week,Male,19,Sophomore,LA Area,Close friend,More than once a week,Other,19,Sophomore,Rest of United States,Friend,Once a week
1,8/31/2023,14:31,Male,21,Senior,Bay Area,3,Male,48,Other,Bay Area,Close friend,More than once a week,Female,48,Other,Bay Area,Close friend,More than once a week,Male,21,Other,Bay Area,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9/6/2023,20:44,Other,20,Junior,Bay Area,6+,Female,20,Junior,Rest of California,Close friend,More than once a week,Other,21,Senior,Bay Area,Friend,More than once a week,Other,20,Junior,Rest of California,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,Once a month
1,8/31/2023,14:27,Female,30,Other,Bay Area,5,Female,27,Other,Rest of World,Close friend,More than once a week,Female,30,Other,LA Area,Close friend,More than once a week,Male,31,Other,Bay Area,Close friend,More than once a week,Female,30,Other,Rest of California,Friend,More than once a week,Female,27,Senior,LA Area,Friend,More than once a week
2,9/6/2023,13:00,Female,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Rest of United States,Friend,More than once a week,Male,19,Junior,Rest of World,Friend,More than once a week
3,9/6/2023,13:50,Female,21,Senior,Bay Area,5,Female,21,Junior,Rest of United States,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,19,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week
1,8/31/2023,14:27,Male,21,Senior,Rest of World,5,Female,22,Other,LA Area,Close friend,More than once a week,Female,52,Other,LA Area,Close friend,More than once a week,Male,61,Other,LA Area,Close friend,More than once a week,Male,22,Senior,LA Area,Close friend,Once a week,Male,23,Sophomore,LA Area,Close friend,Once a week
2,9/6/2023,12:33,Female,21,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,Once a month,Female,20,Junior,Rest of World,Close friend,More than once a week,Female,19,Junior,Bay Area,Close friend,More than once a week,Other,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Friend,More than once a week
3,9/6/2023,20:09,Female,19,Junior,LA Area,5,Other,20,Junior,Bay Area,Close friend,More than once a week,Female,56,Other,Rest of United States,Close friend,More than once a week,Male,55,Other,Rest of United States,Close friend,Once a week,Female,20,Junior,LA Area,Close friend,Once a week,Female,20,Junior,Bay Area,Close friend,More than once a week
1,9/7/2023,18:27,Male,19,Junior,LA Area,5,Male,20,Junior,Rest of United States,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Male,19,Sophomore,LA Area,Close friend,More than once a week,Male,20,Junior,Rest of United States,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week
2,9/7/2023,18:40,Male,20,Junior,Rest of United States,5,Male,52,Other,Rest of United States,Close friend,More than once a week,Male,20,Junior,Rest of United States,Friend,Once a week,Female,19,Sophomore,Rest of United States,Close friend,Once a week,Male,21,Junior,Rest of United States,Close friend,More than once a week,Male,20,Junior,Rest of United States,Close friend,More than once a week
3,8/31/2023,14:27,Female,20,Junior,LA Area,5,Female,20,Junior,Rest of United States,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Female,19,Junior,Bay Area,Friend,Once a month,Female,20,Junior,LA Area,Close friend,Once a month,Female,20,Junior,LA Area,Friend,Once a year
1,9/5/2023,19:30,Male,19,Junior,Bay Area,6+,Female,51,Other,Bay Area,Close friend,Once a week,Male,55,Other,Rest of United States,Close friend,Once a week,Male,20,Junior,Bay Area,Close friend,Once a month,Female,20,Junior,Bay Area,Close friend,Once a month,Male,20,Junior,Bay Area,Close friend,Once a month
